career,Q1_realistic,Q2_investigative,Q3_artistic,Q4_social,Q5_enterprising,Q6_conventional,Q7_math,Q8_communication,Q9_technical,Q10_design,Q11_work_env,Q12_team_size,Q13_risk,Q14_pace,Q15_values,Q16_prefers,Q17_balance,Q18_education,Q19_subjects,Q20_coding,Q21_indoor,Q22_age,Q23_problem_text,Q24_dream_text,Q25_skill_text,annual_salary,total_employment,required_skills
Data Scientist,2.53,6.81,2.63,1.93,1.72,4.61,5,3,5,1,Remote,Small (2-5),Medium,Varies,High salary,Data,Somewhat,Masters,Science/Math,Advanced,Strongly indoor,18-22,I love building predictive models that learn from historical data to forecast future,I would run my own data consultancy helping companies make smarter decisions,I am known for my patience in cleaning and structuring messy datasets,108020,192000,Python | Statistics | Machine Learning | SQL | Data Visualization | Pandas | Communication | NumPy
UX Designer,2.11,4.14,5.91,5.16,3.59,2.94,2,4,3,4,Flexible,Small (2-5),Medium,Varies,Creative freedom,Ideas,Somewhat,Pursuing,Arts/Humanities,Intermediate,Mostly indoor,28-35,I get passionate when I can redesign an experience to make it truly intuitive,I would create digital experiences so intuitive they feel completely invisible,My colleagues say I can spot a bad user experience from a mile away instantly,95640,91770,User Research | Figma | Prototyping | Wireframing | Usability Testing | Empathy | Design Thinking | Communication
Business Consultant,2.07,4.79,1.83,2.18,4.81,5.89,4,4,2,3,Office,Large (20+),High,Fast-paced,High salary,Ideas,Extremely,Masters,Commerce/Business,Never,Mostly indoor,18-22,I love the challenge of influencing senior leaders to adopt genuinely better ways of working,I would use strategy consulting skills to dramatically improve how governments serve citizens,Friends say I can analyze any situation very quickly and immediately identify the core issue,99410,1000000,Active Listening | Reading Comprehension | Critical Thinking | Judgment and Decision Making | Complex Problem Solving | Speaking | Monitoring | Writing
UX Designer,2.69,4.42,5.3,4.85,2.47,2.9,2,4,3,5,Flexible,Small (2-5),Medium,Varies,Creative freedom,Ideas,Somewhat,Pursuing,Arts/Humanities,Intermediate,Mostly indoor,23-27,I love observing how people interact with products and finding friction points,I would design accessibility tools that make technology usable for everyone,People say I have an exceptional ability to understand what others truly need,95640,91770,User Research | Figma | Prototyping | Wireframing | Usability Testing | Empathy | Design Thinking | Communication
Supply Chain Manager,2.89,3.84,1.0,2.15,4.81,4.71,4,4,4,2,Flexible,Large (20+),High,Fast-paced,Job stability,Mix of all,Extremely,Pursuing,Commerce/Business,Basic,Mostly indoor,23-27,I get excited by the challenge of delivering the right thing to the right place at the right time,I would build logistics systems for humanitarian aid that genuinely save lives during crises,Colleagues say I can spot a supply chain bottleneck long before it ever becomes a serious crisis,99600,182800,Monitoring | Coordination | Critical Thinking | Active Listening | Reading Comprehension | Speaking | Complex Problem Solving | Judgment and Decision Making
AI/ML Engineer,4.02,6.22,2.1,2.27,3.46,3.86,5,3,4,2,Remote,Small (2-5),High,Fast-paced,High salary,Data,Extremely,Pursuing,Science/Math,Expert,Strongly indoor,18-22,I love reading research papers and implementing state of the art algorithms,I would build the next generation of AI assistants that truly understand humans,Friends say I can explain neural networks in a way that actually makes sense,136620,31000,Python | Deep Learning | PyTorch | TensorFlow | MLOps | Mathematics | Research | Cloud Platforms
Graphic Designer,3.67,3.18,6.99,3.05,3.29,3.8,1,2,2,5,Remote,Solo,High,Varies,Creative freedom,Mix of all,Very,Bachelors,Arts/Humanities,Never,Strongly indoor,28-35,I enjoy creating visual systems that remain consistent across all touchpoints,I would design the visual identity for a brand that becomes globally iconic,People say I can produce beautiful work extremely quickly under tight deadlines,58910,253000,Critical Thinking | Speaking | Active Listening | Reading Comprehension | Active Learning | Writing | Complex Problem Solving | Coordination
Business Consultant,1.0,5.49,1.06,3.01,3.82,6.07,4,5,1,2,Office,Large (20+),High,Fast-paced,High salary,Ideas,Very,Bachelors,Commerce/Business,Never,Mostly indoor,18-22,I love diagnosing what is fundamentally wrong with an organization and prescribing the right fix,I would advise Fortune 500 companies on their most critical and difficult strategic challenges,People say I have an exceptional ability to structure very messy problems into completely clear logic,99410,1000000,Active Listening | Reading Comprehension | Critical Thinking | Judgment and Decision Making | Complex Problem Solving | Speaking | Monitoring | Writing
Graphic Designer,2.91,3.1,7.0,2.08,3.7,4.42,3,3,3,5,Remote,Solo,High,Varies,Creative freedom,Mix of all,Somewhat,Pursuing,Arts/Humanities,Never,Strongly indoor,23-27,I love solving visual communication problems through design and typography,I would run my own creative studio designing brand identities for startups,People say I have an extraordinary eye for color harmony and visual balance,58910,253000,Critical Thinking | Speaking | Active Listening | Reading Comprehension | Active Learning | Writing | Complex Problem Solving | Coordination
Environmental Scientist,4.85,5.97,2.29,2.66,2.38,5.04,4,4,3,2,Lab,Large (20+),Medium,Slow and steady,Making impact,Physical things,Extremely,Pursuing,Science/Math,Basic,Both equally,23-27,I enjoy collecting field data and translating it into actionable policy recommendations,I would build monitoring systems that give early warning of approaching environmental disasters,I am known for my ability to communicate urgent scientific issues in a very persuasive way,76480,97000,Reading Comprehension | Writing | Speaking | Active Listening | Critical Thinking | Science | Monitoring | Complex Problem Solving
AI/ML Engineer,3.86,5.97,1.85,2.89,1.69,3.81,5,2,5,2,Remote,Small (2-5),High,Fast-paced,High salary,Data,Somewhat,PhD,Science/Math,Expert,Strongly indoor,18-22,I love building systems that learn and improve from experience over time,I would build AI systems that accelerate scientific discovery across every field,People say I have an exceptional ability to combine math and engineering thinking,136620,31000,Python | Deep Learning | PyTorch | TensorFlow | MLOps | Mathematics | Research | Cloud Platforms
Environmental Scientist,4.67,7.0,1.44,4.08,2.47,4.04,4,3,3,3,Lab,Large (20+),Medium,Slow and steady,Making impact,Physical things,Very,Masters,Science/Math,Basic,Both equally,18-22,I enjoy collecting field data and translating it into actionable policy recommendations,I would build monitoring systems that give early warning of approaching environmental disasters,I am known for my ability to communicate urgent scientific issues in a very persuasive way,76480,97000,Reading Comprehension | Writing | Speaking | Active Listening | Critical Thinking | Science | Monitoring | Complex Problem Solving
Content Creator,1.59,3.71,4.24,2.93,3.98,4.17,2,4,2,4,Remote,Solo,High,Varies,Creative freedom,Mix of all,Somewhat,Pursuing,Arts/Humanities,Never,Strongly indoor,Under 18,I enjoy the puzzle of making educational content feel entertaining and completely irresistible,I would create a content platform that gives a voice to stories that are never heard,People say I can make any topic feel fascinating and worth sharing with everyone,73690,165000,Writing | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Active Learning | Judgment and Decision Making | Social Perceptiveness
Mechanical Engineer,5.94,4.78,2.3,1.0,1.58,5.12,5,2,4,1,Flexible,Medium (6-20),Medium,Moderate,Job stability,Physical things,Very,PhD,Science/Math,Never,Both equally,18-22,I enjoy analyzing why a mechanical system failed and redesigning it to be stronger,I would create renewable energy systems that make fossil fuels completely obsolete,People say I have an unusual ability to understand how things break before they do,96310,303400,Reading Comprehension | Critical Thinking | Active Listening | Complex Problem Solving | Mathematics | Speaking | Judgment and Decision Making | Science
Software Engineer,3.59,5.46,3.82,2.62,2.01,6.11,5,3,5,3,Remote,Small (2-5),Medium,Fast-paced,High salary,Ideas,Very,Bachelors,Science/Math,Expert,Strongly indoor,23-27,I love debugging complex systems and finding elegant solutions to logic problems,I would build open source tools that millions of developers use every day,People say I explain technical concepts in a very clear and simple way,130160,1847900,Programming | Reading Comprehension | Critical Thinking | Active Listening | Writing | Speaking | Judgment and Decision Making | Complex Problem Solving
Lawyer,1.0,4.81,2.6,3.74,4.9,4.95,3,5,2,1,Office,Large (20+),Low,Moderate,High salary,People,Very,PhD,Arts/Humanities,Never,Mostly indoor,18-22,I love constructing logical arguments and finding flaws in opposing positions,I would run a public interest law firm fighting for human rights and social justice,People say I am an exceptionally persuasive and logically structured communicator,145760,813900,Active Listening | Speaking | Critical Thinking | Reading Comprehension | Writing | Persuasion | Judgment and Decision Making | Negotiation
Biotechnologist,4.44,6.5,2.23,2.54,2.3,4.24,4,2,4,2,Lab,Small (2-5),Medium,Slow and steady,Making impact,Physical things,Very,Masters,Science/Math,Intermediate,Mostly indoor,23-27,I enjoy designing experiments that push the absolute boundaries of what living cells can do,I would create biodegradable materials that completely replace plastic in every product,I am known for my ability to connect fundamental biological principles to real world problems,102270,37400,Science | Reading Comprehension | Active Learning | Critical Thinking | Writing | Speaking | Mathematics | Active Listening
Content Creator,1.33,3.04,4.08,3.05,4.21,4.48,1,5,2,5,Remote,Solo,High,Varies,Creative freedom,Mix of all,Very,PhD,Arts/Humanities,Never,Strongly indoor,23-27,I enjoy the creative challenge of communicating complex ideas in very engaging formats,I would write a book series that helps young people navigate life with real confidence,I am known for my consistency and discipline in producing very high quality content,73690,165000,Writing | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Active Learning | Judgment and Decision Making | Social Perceptiveness
Content Creator,2.38,2.36,2.38,2.49,4.14,5.17,2,4,3,5,Remote,Solo,High,Varies,Creative freedom,Mix of all,Very,Bachelors,Arts/Humanities,Never,Strongly indoor,18-22,I enjoy the creative challenge of communicating complex ideas in very engaging formats,I would write a book series that helps young people navigate life with real confidence,I am known for my consistency and discipline in producing very high quality content,73690,165000,Writing | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Active Learning | Judgment and Decision Making | Social Perceptiveness
Research Scientist,3.8,7.0,2.83,2.56,2.01,5.12,4,4,4,2,Lab,Solo,Low,Slow and steady,Making impact,Data,Somewhat,Pursuing,Science/Math,Intermediate,Mostly indoor,28-35,I love reading research papers and finding gaps that my own work could meaningfully fill,I would publish research that completely reshapes what humanity knows about the brain,Friends say I never accept a surface level answer and always need to dig much deeper,99490,136400,Judgment and Decision Making | Systems Evaluation | Active Learning | Complex Problem Solving | Reading Comprehension | Critical Thinking | Systems Analysis | Programming
AI/ML Engineer,3.56,6.79,3.11,2.13,2.24,2.78,5,3,5,2,Remote,Small (2-5),High,Fast-paced,High salary,Data,Very,Pursuing,Science/Math,Expert,Strongly indoor,18-22,I love building systems that learn and improve from experience over time,I would build AI systems that accelerate scientific discovery across every field,People say I have an exceptional ability to combine math and engineering thinking,136620,31000,Python | Deep Learning | PyTorch | TensorFlow | MLOps | Mathematics | Research | Cloud Platforms
Data Scientist,2.82,6.96,2.69,1.71,2.35,5.14,5,3,4,1,Remote,Small (2-5),Medium,Varies,High salary,Data,Somewhat,Pursuing,Science/Math,Advanced,Strongly indoor,Under 18,I enjoy cleaning messy data and turning chaos into structured meaningful insights,I would create data pipelines that power real time decision making at scale,People say I can explain complex analysis results to non technical audiences,108020,192000,Python | Statistics | Machine Learning | SQL | Data Visualization | Pandas | Communication | NumPy
